Party voted for in last national election, Poland
1,Sojusz Lewicy Demokratycznej/Unia Pracy
2,Akcja Wyborcza Solidarnosc Prawicy
3,Unia Wolnosci
4,Samoobrona Rzeczypospolitej Polskiej
5,Prawo i Sprawiedliwosc
6,Polskie Stronnictwo Ludowe
7,Platforma Obywatelska
8,Alternatywa Ruch Spoleczny
9,Polska Wspolnota Narodowa
10,Liga Polskich Rodzin
11,Mniejszosc Niemiecka
12,Polska Unia Gospodarcza
13,Polska Partia Socjalistyczna
14,Niemiecka Mniejszosc Gornego Slaska
66,Not applicable
77,Refusal
88,Don't know
99,No answer
