Party voted for in last national election, Italy
1,Democratici di sinistra
2,La Margherita
3,Comunisti Italiani
4,Verdi e SDI (Girasole)
6,SVP (Sudtirol Volkspartei - Partito Popolare Sudtirolese)
7,Rifondazione Comunista
8,Forza Italia
9,Alleanza Nazionale
10,CCD-CDU
11,Lega Nord
12,Nuovo PSI
13,Lista di Pietro
14,Democrazia Europea
15,Pannella-Bonino
16,Fiamma Tricolore
17,Other
18,Scheda bianca
19,Ulivo
70,Ha votato solo al maggioritario
66,Not applicable
77,Refusal
88,Don't know
99,No answer
