Party voted for in last national election, Czechia
1,CSSD Cz.Social Democratic P.
2,ODA Civic Democratic Alliance
3,Nadeje (Hope)
4,RMS Republicans of Miroslav Sladek
5,CSNS Cz.National Social P.
6,SV-SOS P.of Countryside-Assoc.Civic Forces
7,Association of Independents
8,ODS Civic Democratic P.
9,KSCM Communist P.of Bohemia&Moravia
10,Coalition (Christian Dem.&Freedom Union)
11,SZJ P.for Life Securities
12,PB Right Block
13,SZ P.of Greens
14,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
