Party voted for in last national election, Portugal
1,B.E. -  Bloco de Esquerda
2,CDS/PP - Centro Democrático Social / Partido Popular
3,MPT - Movimento Partido da Terra
4,P.H. - Partido Humanista
5,PCP/PEV - Partido Comunista Português  Partido Ecolo
6,PCTP/MRPP - Partido Comunista dos Trabalhadores Po
7,PNR - Partido Nacional Renovador
8,POUS - Partido Operário de Unidade Socialista
9,PPM - Partido Popular Monárquico
10,PS - Partido Socialista
11,PSD - Partido Social Democrata
12,Other
13,Blank vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
