Party voted for in last national election, United Kingdom
1,Conservative
2,Labour
3,Liberal Democrat
4,Scottish National Party
5,Plaid Cymru
6,Green Party
7,British National Party
8,Uk Independence Party
9,Independent
11,Ulster Unionist Party
12,Democratic Unionist Party
13,Sinn Fein
14,Social Democratic and Labour Party
15,Alliance Party
16,Progressive Unionist Party
17,United Kingdom Unionist Party
18,Women's Coalition
19,United Unionist Assembly Party
20,Northern Ireland Unionist Party
21,Workers Party
22,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
