Party voted for in last national election, Poland
1,Centrum
2,Dom Ojczysty
3,Liga Polskich Rodzin
4,Narodowe Odrodzenie Polski
5,Ogolnopolska Koalicja Obywatelska
6,Partia Demokratyczna demokraci.pl
7,Partia Inicjatywa RP
8,Platforma Janusza Korwin-Mikke
9,Platforma Obywatelska
10,Polska Konfederacja Godnosc i Praca
11,Polska Partia Narodowa
12,Polska Partia Pracy
13,Polskie Stronnictwo Ludowe
14,Prawo i Sprawiedliwosc
15,Ruch Patriotyczny
16,Samoobrona Rzeczypospolitej Polskiej
17,Socjaldemokracja Polska
18,Sojusz Lewicy Demokratycznej
19,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
