Party voted for in last national election, Russian Federation
1,United Russia (ER)
2,Communist Party of the Russian Federation (KPRF)
3,Liberal Democratic Party of Russia (LDPR)
4,Rodina
5,Union of Right Forces (SPS)
6,Yabloko
7,Agrarian Party of Russia (APR)
8,Russian party of pensioners and party of social justice
9,Party of Revival of Russia - Russian Party of Life
10,Party of the development of entrepreneurship
11,Fair Russia (SR)
12,Nash Vybor - Our choice
13,Youth party of Revival
14,Free Russia
15,Green party
16,People-republican party of Russia
17,Real Patriots of Russia
18,People's Party of RF
19,Democratic party of Russia
20,Edinenie
65,Against all
66,Not applicable
77,Refusal
88,Don't know
99,No answer
