Party voted for in last national election, Turkey
1,Adalet Kalkinma Partisi (AKP)
2,Anavatan Partisi (ANAP)
3,Buyuk Birlik Partisi (BBP)
4,Cumhuriyet Halk Partisi (CHP)
5,Demokrat Parti (DP)
6,Demokratik Toplum Partisi (DTP)
7,Demokratik Sol Parti (DSP)
8,Emek Partisi (EMEP)
9,Isci Partisi (IP)
10,Milliyetci Hareket Partisi (MHP)
11,Ozgurluk Dayanisma Partisi (ODP)
12,Saadet Partisi (SP)
13,Sosyal Demokrat Halkci Parti (SHP)
14,T. Komunist Partisi (TKP)
15,Other party or independent candidate
16,Cast invalid vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
