Party voted for in last national election, Croatia
1,Hrvatska demokratska zajednica (HDZ)
2,Socijaldemokratska partija Hrvatske (SDP)
3,Hrvatska narodna stranka - Liberalni demokrati (HNS)
4,Hrvatska seljacka stranka (HSS)
5,Hrvatsko socijalno-liberalna stranka (HSLS)
6,Istarski demokratski sabor (IDS)
7,Hrvatski demokratski savez Slavonije i Baranje (HDSSB)
8,Samostalna demokratska Srpska stranka (SDSS)
9,Hrvatska stranka prava (HSP)
10,Hrvatska stranka umirovljenika (HSU)
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
