Party voted for in last national election 1, Lithuania (first vote, party)
1,Lithuanian Social Democratic Party (LSDP)
2,Union of Russians of Lithuania (LRS)
3,Party 'Front' (Frontas)
4,Lithuanian Centre Party (LCP)
5,Homeland Union - Lithuanian Christian Democrats (TS-LKD)
6,New Union (Social Liberals) (NS)
7,Party of Civic Democracy (PDP)
8,Electoral Action of Poles in Lithuania (LLRA)
9,National Resurrection Party (TPP)
10,The Coalition Labour Party + Youth
11,Liberals' Movement of the Republic of Lithuania (LRLS)
12,Lithuanian Peasant Popular Union (LVLS)
13,Party Order and Justice (TT)
14,Liberal and Centre Union (LiCS)
15,Party 'Young Lithuania' (JL)
16,Lithuanian Social Democratic Union (LSDS)
44,Did not vote for a candidate list
55,Does not know if voted for a candidate list
66,Not applicable
77,Refusal
88,Don't know
99,No answer
