Party voted for in last national election, Bulgaria
1,GERB
2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb
3,DPS - Dvijenie za prava i svobodi
4,Siniata koalitsia (SDS; DSB)
5,Partia Ataka
6,Red, zakonnost i spravedlivost (RZS)
7,NDSV
8,PP Lider
9,Saiuz na patriotichnite sili Zashtita
10,Partia na liberalnata alternative i mira (PLAM)
11,PP Zelenite
12,Sotsialdemokrati
13,P.P. Drugata Balgaria
14,PP Natsionalno dvijenie za spasenie na Otechestvoto
15,Balgarski Natsionalen Saiuz – ND
16,Druga politicheska sila
17,Nezavisim kandidat
66,Not applicable
77,Refusal
88,Don't know
99,No answer
