Party voted for in last national election, Denmark
1,Socialdemokraterne - the Danish social democtrats
2,Det Radikale Venstre - Danish Social-Liberal Party
3,Det Konservative Folkeparti - Conservative
4,SF- Socialistisk Folkeparti - the Socialist People's Party
5,Dansk Folkeparti - Danish peoples party
6,Kristendemokraterne - Christian democtrats
7,Venstre, Danmarks Liberale Parti - Venstre
8,Ny Alliance - New alliance
9,Enhedslisten, De Rød-Grønne - The Red-Green Alliance
10,Andet - other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
