Party voted for in last national election, Finland
1,The National Coalition Party
2,The Swedish People´s Party (SPP)
3,Liberals, (The liberal party of Finland)
4,The Centre Party
5,True Finns
6,Christian Democrats
7,Patriotic People's Movement
8,Finnish People's Blue-whites
9,Senior Citizens' Party
10,Joint Responsibility Party
11,Independence Party
12,For the Poor
13,The Green League
14,Finnish Social Democratic Party
15,The Left Alliance
16,Communist Party of Finland
17,The Communist Workers' Party of Finland
18,Workers Party
19,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
