Party voted for in last national election, France (ballot 1)
1,CPNT (Chasse, Pêche, Nature et Traditions)
2,FN (Front National)
3,LCR (Ligue Communiste Révolutionnaire)
4,LO (Lutte Ouvrière)
5,MPF (Mouvement pour la France)
6,Nouveau Centre
7,PC (Parti Communiste)
8,PS (Parti Socialiste)
9,PRG (Parti Radical de Gauche)
10,UDF-MoDem (Mouvement Democrate)
11,UMP (Union pour la Majorité Présidentielle)
12,Les Verts
13,Autres mouvements écologistes
14,Divers gauche
15,Divers droite
16,Autre
17,Blanc
18,Nul
66,Not applicable
77,Refusal
88,Don't know
99,No answer
