Party voted for in last national election, Greece
1,The Panhellenic Socialist Movement (PASOK)
2,New Democracy (ND)
3,The Communist Party of Greece (KKE)
4,The Popular Orthodox Rally (LAOS)
5,The Coalition of the Radical Left (SYRIZA)
6,The Ecologist Greens (OP)
7,Null
8,No one
9,Invalid
10,Golden Dawn (Xrusi Augi)
11,The Liberal Alliance (FS)
12,The Anticapitalist Left Cooperation for the Overthrow (ANTARSYA)
13,Smokers' Groups for Art and Visual Formation (KOTES)
14,Independent Citizens' Movement (SPITHA)
66,Not applicable
77,Refusal
88,Don't know
99,No answer
