Party voted for in last national election 2, Lithuania (second vote, party)
1,Liberals' Movement of the Republic of Lithuania (LRLS)
2,Republican Party (RP)
3,Labour Party (DP)
4,Democratic Labour and Unity Party (DDVP)
5,Homeland Union - Lithuanian Christian Democrats (TS-LKD)
6,Political Party 'The Way of Courage' (DK)
7,Electoral Action of Poles in Lithuania (LLRA)
8,Lithuanian Social Democratic Party (LSDP)
9,Party Order and Justice (TT)
10,Lithuanian Centre Party (LCP)
11,Lithuanian Social Democratic Union (LSDS)
12,Nationalist Union (TS)
13,National Unity Union (TVS)
14,Christian Party (KP)
15,Lithuanian People's Party (LZP)
16,Socialist People's Front (SLF)
17,Lithuanian Peasant and Greens Union (LVZS)
18,Party 'Young Lithuania' (JL)
19,Liberal and Centre Union (LiCS)
20,Emigrants' Party (EP)
21,Political Party 'Union Yes' (ST)
22,Union of Fighters for Lithuania (KLS)
23,Lithuanian Pensioners' Party (LPP)
24,Political Party 'List of Lithuania' (LS)
25,Political Party 'Lithuanian Green Movement' (LZS)
26,National Party Way of Lithuania (TPLK)
27,Zemaiciai (Samogitian) Party (ZP)
28,Independent/Self-Nominated
44,Did not vote for a candidate in the 1st round
55,Does not know if voted for a candidate in the 1st round
66,Not applicable
77,Refusal
88,Don't know
99,No answer
