Party voted for in last national election, Bulgaria
1,PP GERB
2,Balgarska sotsialisticheska partia (BSP)
3,PP Ataka
4,PP Red, zakonnost i spravedlivost (RZS)
5,PP VMRO – Balgarsko natsionalno dvizhenie
6,PP BZNS
7,PP Natsionalen front za dpasenie na Bulgaria
8,KP Sayuz na desnite sili
9,PP Natsionalno dvizhenie Edinstvo
10,PP Edinna narodna partia
11,PP Partia za horata ot naroda
12,PP Balgarska demokratichna obshtnost
13,Kandidati, izdignati ot Initsiativni komiteti
66,Not applicable
77,Refusal
88,Don't know
99,No answer
