Party voted for in last national election, Switzerland
1,Swiss People's Party
2,Socialist Party
3,Radical Liberals
4,Christian Democrats
5,Green Party
6,Green Liberal Party
7,Bourgois-democratic Party
8,Evangelical People's Party
9,Federal Democratic Union
10,Ticino League
11,Swiss Labour Party
12,Movement of the Citizens belonging to French-speaking Switzerland
13,Christian Social Party
14,Alternative Left
15,Swiss Democrats
16,Pirate Party Switzerland
17,Swiss Nationalist Party
19,Blank paper
20,Mixed vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
