Party voted for in last national election, United Kingdom
1,Conservative
2,Labour
3,Liberal Democrat
4,Scottish National Party
5,Plaid Cymru
6,Green Party
7,Other
11,Ulster Unionist Party (nir)
12,Democratic Unionist Party (nir)
13,Sinn Fein (nir)
14,Social Democratic and Labour Party (nir)
15,Alliance Party (nir)
16,Progressive Unionist Party (nir)
17,United Kingdom Unionist Party (nir)
18,Women's Coalition (nir)
19,United Unionist Assembly Party (nir)
20,Northern Ireland Unionist Party (nir)
21,Workers Party (nir)
22,Other (nir)
66,Not applicable
77,Refusal
88,Don't know
99,No answer
