Party voted for in last national election, Portugal
1,Bloco de Esquerda (BE)
2,Centro Democrático Social - Partido Popular (CDS-PP)
3,Coligação Democrática Unitária (CDU)
4,Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado (PCTP-MRPP)
5,Partido Democrático do Atlântico (PDA)
6,Partido Humanista (PH)
7,Nova democracia (PND)
8,Partido Nacional Renovador (PNR)
9,Partido Operário de Unidade Socialista (POUS)
10,Partido Social Democrata (PSD)
11,Partido Socialista (PS)
12,Votou em branco / nulo
13,Outro
66,Not applicable
77,Refusal
88,Don't know
99,No answer
