Party voted for in last national election, Spain
1,Partido Popular - PP
2,Partido Socialista Obrero Español - PSOE
3,Unidos Podemos
4,Podemos
5,Ciudadanos
6,Izquierda Unida - IU
7,En Comú Podem
8,Compromís-Podemos-EUPV
9,Compromís
10,Esquerra Republicana de Catalunya - ERC
11,CDC-PdeCAT
12,En Marea
13,EAJ-PNV
14,EH Bildu
15,CC-PCC (Coalición Canaria)
16,CC (Coalición Canaria)
17,PNC (Nueva Canaria)
18,PACMA
19,Candidatura d´Unitat Popular - CUP
50,Other
51,Blank vote
52,Invalid vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
