Party voted for in last national election, Bulgaria
1,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
2,Balgarska sotsialisticheska partiya (BSP)
3,Obedineni patrioti - NFSB, Ataka i VMRO
4,Dvizhenie za prava i svobodi (DPS)
5,Volya
6,Reformatorski blok - Glas Naroden
7,Koalitsiya Dvizhenie za Bulgariya
8,Obedinenie DOST
9,Nova republika - DSB - Suyuz za Plovdiv - BDO
10,Koalitsiya ABV – Dvizhenie 21
11,Vuzrazhdane
12,Other
13,Invalid
66,Not applicable
77,Refusal
88,Don't know
99,No answer
