Party voted for in last national election, Switzerland
1,Swiss People's Party
2,Social Democratic Party / Socialist Party
3,FDP. The Liberals
4,Christian Democratic Party
5,Green Party
6,Green Liberal Party
7,Conservative Democratic Party
8,Evangelical People's Party
9,Federal Democratic Union
10,Ticino League
11,Swiss Labour Party
12,Movement of the Citizens of French-speaking Switzerland
13,Alternative Left
14,Pirate Party Switzerland
15,Other
16,Blank paper
66,Not applicable
77,Refusal
88,Don't know
99,No answer
